Quantity,Name,Sets,Conditions,Languages,Finishes,Paused,Tags,Limit,Offer,Scryfall ID,Cardsphere ID,Reason
99,Black Dragon Gate,CLB,NM,EN,F,P,,2.81,200,c4ceb589-c741-44ac-98c8-3d997953ee61,89033,pauper relevant
99,Relic of Progenitus,MB2,NM,EN,F,P,,10.81,200,26b46701-9fe0-4d6e-8aaf-e0a677f9851f,127468,pauper relevant
99,Relic of Progenitus,MB2,NM,EN,N,P,,2.69,200,26b46701-9fe0-4d6e-8aaf-e0a677f9851f,127469,pauper relevant
99,Snow-Covered Swamp,ICE,NM,EN,N,P,,1.25,200,65a3c27f-6b15-49b6-ac89-36cfb79b3b54,20293,pauper relevant
99,Faerie Macabre,SHM,NM,EN,F,P,,47.34,200,ead8befa-27dd-4ec4-b317-1c231407e0ac,41138,pauper relevant
99,Faerie Macabre,SHM,NM,EN,N,P,,4.47,200,ead8befa-27dd-4ec4-b317-1c231407e0ac,41139,pauper relevant
99,Urza's Mine,ATQ,NM,EN,N,P,,8.79,200,ddf85792-470b-4b42-99ac-9cb43a575523,5095,pauper relevant
99,Elves of Deep Shadow,DDJ,NM,EN,N,P,,2.24,200,6040ba5e-7042-4095-9000-89bcb8ce1ea6,14952,pauper relevant
99,Brainstorm,TLE,NM,EN,F,P,,1.16,200,b5545882-6963-4729-b2c6-fb4bdc75ffcc,143481,pauper relevant
99,Brainstorm,TLE,NM,EN,N,P,,0.69,200,b5545882-6963-4729-b2c6-fb4bdc75ffcc,143411,pauper relevant
99,Brainstorm,PLST,NM,EN,N,P,,1.06,200,54a9a943-0831-49ae-bbfb-3e6a9f57160e,63356,pauper relevant
99,Guttersnipe,PM19,NM,EN,F,P,,1.26,200,2bc0185e-8ba5-423c-a8aa-a55cc1f34cef,56316,pauper relevant
99,Arcane Denial,C13,NM,EN,N,P,,1.10,200,ab175817-da6a-4ae7-a016-c3bfb087eae0,9522,pauper relevant
99,Horned Sliver,SLD,NM,EN,F,P,,3.80,200,71f28575-b1a8-4ed0-9bb2-d72c56b9fee1,91178,pauper relevant
99,Elvish Mystic,M14,NM,EN,F,P,,2.30,200,60d0e6a6-629a-45a7-bfcb-25ba7156788b,27902,pauper relevant
99,Thoughtcast,MRD,NM,EN,F,P,,14.63,200,efb965a7-877a-4302-b507-25b0a9e32d9b,31001,pauper relevant
99,Thoughtcast,MRD,NM,EN,N,P,,1.14,200,efb965a7-877a-4302-b507-25b0a9e32d9b,31002,pauper relevant
99,Lightning Bolt,SLD,NM,EN,N,P,,1.59,200,24484578-7885-4125-b95f-e677d970a5a1,131654,pauper relevant
99,Mnemonic Wall,ROE,NM,EN,F,P,,1.05,200,ffaebb4a-cb9b-4ac8-b661-3e63d9d984f4,39642,pauper relevant
99,Lava Spike,MMA,NM,EN,F,P,,1.16,200,e3abbec4-202d-47ee-9472-b41d41f75372,31651,pauper relevant
99,Lava Spike,MMA,NM,EN,N,P,,0.52,200,e3abbec4-202d-47ee-9472-b41d41f75372,31652,pauper relevant
99,Elvish Mystic,CMM,NM,EN,F,P,,1.29,200,75918859-c93f-41b4-9ad0-a4a96c389f0d,106295,pauper relevant
99,Fire // Ice,APC,NM,EN,F,P,,27.72,200,f98f4538-5b5b-475d-b98f-49d01dae6f04,5196,pauper relevant
99,Fire // Ice,APC,NM,EN,N,P,,1.11,200,f98f4538-5b5b-475d-b98f-49d01dae6f04,5197,pauper relevant
99,Lightning Bolt,CLB,NM,EN,F,P,,1.04,200,ae5f9fb1-5a55-4db3-98a1-2628e3598c18,88625,pauper relevant
